#type Date UTC      F_10_7       F81      KP
#type=R - Real Data;  type=F - Forec
R 2003/10/18    109.000    115.012      4.000
R 2003/10/19    120.000    115.272      4.000
R 2003/10/20    135.000    115.679      4.000
R 2003/10/21    152.000    116.235      4.000
R 2003/10/22    154.000    116.765      4.000
R 2003/10/23    183.000    117.543      4.000
R 2003/10/24    191.000    118.383      4.000
R 2003/10/25    222.000    119.506      3.000
R 2003/10/26    298.000    121.593      3.000
R 2003/10/27    257.000    123.074      3.000
R 2003/10/28    274.000    124.815      4.000
R 2003/10/29    279.000    126.654      0.000
R 2003/10/30    271.000    128.383      9.000
R 2003/10/31    249.000    129.864      5.000
R 2003/11/01    210.000    130.938      3.000
R 2003/11/02    190.000    131.667      3.000
R 2003/11/03    167.000    132.123      3.000
R 2003/11/04    168.000    132.580      3.000
R 2003/11/05    114.000    132.420      5.000
R 2003/11/06     98.000    132.160      5.000
R 2003/11/07     91.000    131.852      4.000
R 2003/11/08     93.000    131.556      3.000
R 2003/11/09     93.000    131.321      4.000
R 2003/11/10     95.000    131.025      6.000
R 2003/11/11     96.000    130.716      6.000
R 2003/11/12     99.000    130.457      5.000
R 2003/11/13    102.000    130.284      5.000
R 2003/11/14     99.000    130.062      5.000
R 2003/11/15     98.000    129.778      5.000
R 2003/11/16    104.000    129.506      5.000
R 2003/11/17    121.000    129.531      6.000
R 2003/11/18    144.000    129.877      5.000
R 2003/11/19    155.000    130.383      3.000
R 2003/11/20    175.000    131.185      3.000
R 2003/11/21    177.000    132.037      3.000
R 2003/11/22    176.000    132.901      3.000
R 2003/11/23    178.000    133.728      3.000
R 2003/11/24    177.000    134.531      3.000
R 2003/11/25    171.000    135.309      3.000
R 2003/11/26    171.000    136.123      4.000
R 2003/11/27    175.000    136.951      3.000
R 2003/11/28    168.000    137.802      3.000
R 2003/11/29    166.000    138.667      3.000
R 2003/11/30    153.000    139.333      3.000
R 2003/12/01    143.000    139.901      3.000
R 2003/12/02    139.000    140.457      3.000
R 2003/12/03    124.000    140.802      3.000
R 2003/12/04    116.000    141.062      3.000
R 2003/12/05    112.000    141.247      4.000
R 2003/12/06    109.000    141.370      5.000
R 2003/12/07     92.000    141.198      5.000
R 2003/12/08     94.000    141.012      5.000
R 2003/12/09     92.000    140.778      5.000
R 2003/12/10     89.000    140.494      6.000
R 2003/12/11     86.000    140.074      6.000
R 2003/12/12     87.000    139.630      6.000
R 2003/12/13     88.000    139.173      6.000
R 2003/12/14     92.000    138.654      5.000
R 2003/12/15    101.000    138.259      3.000
R 2003/12/16    106.000    137.951      4.000
R 2003/12/17    118.000    137.802      3.000
R 2003/12/18    123.000    137.630      3.000
R 2003/12/19    123.000    137.481      3.000
R 2003/12/20    130.000    137.444      3.000
R 2003/12/21    133.000    137.395      3.000
R 2003/12/22    138.000    137.556      3.000
R 2003/12/23    142.000    137.827      3.000
R 2003/12/24    139.000    138.074      3.000
R 2003/12/25    139.000    138.432      3.000
R 2003/12/26    137.000    138.741      3.000
R 2003/12/27    127.000    138.926      3.000
R 2003/12/28    119.000    139.000      3.000
R 2003/12/29    115.000    139.049      3.000
R 2003/12/30    108.000    139.000      2.000
R 2003/12/31    106.000    139.000      3.000
R 2004/01/01    116.000    139.222      5.000
R 2004/01/02    117.000    139.506      4.000
R 2004/01/03    116.000    139.802      3.000
R 2004/01/04    119.000    140.086      6.000
R 2004/01/05    123.000    140.432      5.000
R 2004/01/06    117.000    140.654      5.000
R 2004/01/07    119.000    140.778      6.000
R 2004/01/08    120.000    140.778      5.000
R 2004/01/09    118.000    140.568      5.000
R 2004/01/10    119.000    140.160      5.000
R 2004/01/11    119.000    139.728      5.000
R 2004/01/12    118.000    138.926      4.000
R 2004/01/13    118.000    138.025      3.000
R 2004/01/14    121.000    136.778      3.000
R 2004/01/15    119.000    134.568      3.000
R 2004/01/16    120.000    132.877      3.000
R 2004/01/17    123.000    131.012      4.000
R 2004/01/18    120.000    129.049      3.000
R 2004/01/19    135.000    127.370      3.000
R 2004/01/20    129.000    125.889      3.000
R 2004/01/21    130.000    124.901      3.000
R 2004/01/22    122.000    124.062      6.000
R 2004/01/23    115.000    123.420      5.000
R 2004/01/24    108.000    122.679      3.000
R 2004/01/25    102.000    122.531      3.000
R 2004/01/26     98.000    122.531      3.000
R 2004/01/27     94.000    122.568      3.000
R 2004/01/28     89.000    122.519      4.000
R 2004/01/29     87.000    122.444      3.000
R 2004/01/30     93.000    122.420      3.000
R 2004/01/31     94.000    122.395      4.000
R 2004/02/01     97.000    122.370      4.000
R 2004/02/02    102.000    122.370      4.000
R 2004/02/03     99.000    122.370      5.000
R 2004/02/04    101.000    122.407      4.000
R 2004/02/05    106.000    122.432      3.000
R 2004/02/06    107.000    122.259      3.000
R 2004/02/07    111.000    121.852      3.000
R 2004/02/08    116.000    121.370      3.000
R 2004/02/09    118.000    120.667      3.000
R 2004/02/10    117.000    119.926      3.000
R 2004/02/11    114.000    119.160      3.000
R 2004/02/12    112.000    118.346      3.000
R 2004/02/13    108.000    117.494      4.000
R 2004/02/14    104.000    116.667      4.000
R 2004/02/15    102.000    115.815      3.000
R 2004/02/16     99.000    114.877      3.000
R 2004/02/17    102.000    114.062      3.000
R 2004/02/18     98.000    113.222      3.000
R 2004/02/19     96.000    112.519      3.000
R 2004/02/20     95.000    111.926      3.000
R 2004/02/21     98.000    111.420      3.000
R 2004/02/22    104.000    111.173      3.000
R 2004/02/23    104.000    111.025      3.000
R 2004/02/24    106.000    110.951      4.000
R 2004/02/25    119.000    111.074      3.000
R 2004/02/26    121.000    111.432      3.000
R 2004/02/27    122.000    111.778      3.000
R 2004/02/28    116.000    112.074      3.000
R 2004/02/29    110.000    112.333      3.000
R 2004/03/01    102.000    112.531      4.000
R 2004/03/02     99.000    112.679      4.000
